online_order_id,online_customer_id,order_datetime,order_status,sales_channel,fulfilment_type,store_id,delivery_fee,discount_amount,payment_type,product_id
80001,10125,16/03/2024 00:44,Placed,Mobile App,Pickup,2,0,1.69,Card,115
80002,10275,03/03/2024 08:17,Completed,Mobile App,Delivery,,3.02,1.21,Card,755
80003,10097,22/03/2024 19:37,Preparing,Mobile App,Delivery,,1.91,1.82,Card,33
80004,10480,06/03/2024 08:08,Cancelled,Web,Delivery,,3.09,1.41,PayPal,28
80005,10469,26/03/2024 03:01,Completed,Mobile App,Delivery,,2.14,1.07,PayPal,604
80006,10158,24/03/2024 08:07,Cancelled,Mobile App,Pickup,3,0,0.2,Mobile Wallet,433
80007,10241,17/03/2024 20:54,Completed,Mobile App,Pickup,2,0,0.09,Card,95
80008,10380,01/03/2024 17:42,Completed,Mobile App,Delivery,,1.89,0.39,Card,827
80009,10195,23/03/2024 17:22,Completed,Mobile App,Delivery,,3.29,0.98,Mobile Wallet,566
80010,10329,08/03/2024 15:45,Completed,Web,Pickup,,0,0.28,Mobile Wallet,722
80011,10251,25/03/2024 16:09,Placed,Web,Delivery,,3.52,0.15,Mobile Wallet,876
80012,10025,19/03/2024 18:26,Preparing,Web,Delivery,,1.2,0.3,Card,651
80013,10259,03/03/2024 18:01,Cancelled,Mobile App,Pickup,3,0,0.03,Mobile Wallet,274
80014,10283,01/03/2024 18:16,Completed,Mobile App,Pickup,1,0,0.03,Mobile Wallet,251
80015,10346,05/03/2024 20:53,Placed,Web,Pickup,2,0,0.48,Mobile Wallet,702
80016,10270,13/03/2024 03:59,Cancelled,Web,Pickup,3,0,0.75,PayPal,33
80017,10236,11/03/2024 06:41,Completed,Web,Delivery,,2.96,1.72,Card,966
80018,10048,18/03/2024 03:58,Cancelled,Web,Pickup,,0,1.27,Mobile Wallet,937
80019,10088,23/03/2024 17:58,Cancelled,Mobile App,Delivery,,2.7,1.72,Card,575
80020,10459,11/03/2024 10:57,Preparing,Mobile App,Delivery,,1.81,1.85,Mobile Wallet,371
80021,10474,09/03/2024 03:54,Completed,Web,Pickup,1,0,1.92,Mobile Wallet,94
80022,10074,14/03/2024 14:53,Preparing,Web,Pickup,1,0,1.13,PayPal,697
80023,10347,07/03/2024 08:51,Placed,Mobile App,Pickup,,0,0.11,PayPal,480
80024,10119,16/03/2024 12:01,Cancelled,Mobile App,Delivery,,1.09,0.55,PayPal,907
80025,10252,17/03/2024 04:38,Cancelled,Mobile App,Delivery,,1.56,1.17,PayPal,446
80026,10044,04/03/2024 08:17,Placed,Mobile App,Pickup,2,0,0.31,Mobile Wallet,183
80027,10402,18/03/2024 17:34,Completed,Mobile App,Delivery,,1.32,0.01,PayPal,204
80028,10228,05/03/2024 15:39,Preparing,Web,Pickup,3,0,0.37,PayPal,798
80029,10286,02/03/2024 04:41,Placed,Mobile App,Pickup,1,0,1.11,Mobile Wallet,952
80030,10307,01/03/2024 13:28,Completed,Mobile App,Pickup,,0,0.78,Card,247
80031,10372,27/03/2024 00:43,Preparing,Mobile App,Delivery,,1.51,0.54,PayPal,546
80032,10253,03/03/2024 21:06,Preparing,Mobile App,Delivery,,1.83,0.6,Card,272
80033,10185,29/03/2024 10:42,Cancelled,Web,Pickup,2,0,0.92,Card,688
80034,10156,19/03/2024 00:12,Completed,Mobile App,Delivery,,3.41,0.66,PayPal,231
80035,10221,14/03/2024 16:09,Completed,Web,Delivery,,2.44,0.36,PayPal,8
