store_id,trans_datetime,staff_id,payment_type,order_channel,loyalty_member_id,,pos_receipt_id
3,05/01/2024 18:23,5002,Voucher,Click-and-Collect,3002,,90655
1,17/03/2024 07:44,5007,Mobile Wallet,Click-and-Collect,3001,,90143
2,15/01/2024 12:47,5006,Mobile Wallet,In-Store,3003,,90433
4,01/01/2024 03:38,5002,Voucher,In-Store,3001,,90617
4,29/01/2024 17:07,5002,Card,In-Store,3003,,90460
1,12/01/2024 11:47,5005,Voucher,Click-and-Collect,3005,,90715
1,12/02/2024 17:11,5005,Mobile Wallet,Click-and-Collect,3004,,90105
5,15/03/2024 18:05,5009,Mobile Wallet,In-Store,,,90271
5,22/03/2024 06:39,5007,Voucher,Click-and-Collect,,,90081
1,16/02/2024 10:15,5003,Card,Click-and-Collect,3005,,90197
3,16/01/2024 11:38,5006,Voucher,In-Store,,,90082
5,05/02/2024 06:50,5006,Card,In-Store,3002,,90465
3,16/03/2024 16:39,5001,Mobile Wallet,In-Store,,,90687
5,18/02/2024 10:09,5001,Mobile Wallet,Click-and-Collect,3004,,90747
4,19/02/2024 12:45,5003,Cash,Click-and-Collect,,,90225
4,09/03/2024 10:00,5001,Card,In-Store,,,90842
1,18/01/2024 14:00,5005,Mobile Wallet,Click-and-Collect,,,90936
4,27/02/2024 17:34,5001,Card,In-Store,,,90906
1,05/03/2024 08:34,5002,Voucher,In-Store,,,90763
5,07/01/2024 16:31,5007,Card,Click-and-Collect,3005,,90409
4,27/03/2024 23:54,5001,Mobile Wallet,Click-and-Collect,,,90506
2,03/01/2024 03:58,5007,Card,In-Store,,,90812
2,01/03/2024 20:55,5002,Card,Click-and-Collect,3005,,90611
3,14/01/2024 07:14,5007,Mobile Wallet,In-Store,,,90699
1,17/02/2024 01:37,5003,Voucher,Click-and-Collect,3001,,90301
2,08/03/2024 11:31,5008,Card,Click-and-Collect,,,90781
4,20/03/2024 06:53,5005,Voucher,In-Store,3003,,90624
3,17/02/2024 11:25,5009,Cash,Click-and-Collect,3002,,90977
3,19/02/2024 15:34,5004,Mobile Wallet,In-Store,3005,,90115
5,25/03/2024 15:12,5004,Cash,Click-and-Collect,3005,,90060
1,06/02/2024 05:48,5009,Card,In-Store,3004,,90779
1,10/03/2024 00:07,5004,Mobile Wallet,In-Store,3002,,90170
3,24/02/2024 14:56,5002,Mobile Wallet,In-Store,3003,,90409
4,12/03/2024 13:13,5008,Voucher,In-Store,3005,,90254
5,05/03/2024 23:14,5008,Mobile Wallet,Click-and-Collect,3004,,90226
5,17/03/2024 11:45,5003,Card,Click-and-Collect,,,90070
5,04/03/2024 07:57,5002,Card,Click-and-Collect,,,90244
4,02/02/2024 22:27,5006,Mobile Wallet,In-Store,,,90591
2,01/02/2024 05:22,5003,Voucher,In-Store,,,90097
