store_id,trans_datetime,staff_id,payment_type,order_channel,loyalty_member_id,pos_receipt_id,time_range,month,line_number,product_id,quantity,unit_price,line_discount
3,2024-01-05 18:23:00,5002,Voucher,Click-and-Collect,3002.0,90655,18:00-24:00,Jan,2,115,1,4.84,0.1
3,2024-01-05 18:23:00,5002,Voucher,Click-and-Collect,3002.0,90655,18:00-24:00,Jan,3,811,1,1.84,0.5
3,2024-01-05 18:23:00,5002,Voucher,Click-and-Collect,3002.0,90655,18:00-24:00,Jan,3,32,4,5.5,0.25
1,2024-03-17 07:44:00,5007,Mobile Wallet,Click-and-Collect,3001.0,90143,06:00-12:00,Mar,5,755,1,4.55,0.0
1,2024-03-17 07:44:00,5007,Mobile Wallet,Click-and-Collect,3001.0,90143,06:00-12:00,Mar,4,649,3,2.59,0.1
1,2024-03-17 07:44:00,5007,Mobile Wallet,Click-and-Collect,3001.0,90143,06:00-12:00,Mar,3,492,4,5.17,0.25
2,2024-01-15 12:47:00,5006,Mobile Wallet,In-Store,3003.0,90433,12:00-18:00,Jan,5,33,1,1.92,0.1
2,2024-01-15 12:47:00,5006,Mobile Wallet,In-Store,3003.0,90433,12:00-18:00,Jan,4,695,4,5.96,0.5
4,2024-01-01 03:38:00,5002,Voucher,In-Store,3001.0,90617,00:00-06:00,Jan,2,28,2,4.72,0.5
4,2024-01-01 03:38:00,5002,Voucher,In-Store,3001.0,90617,00:00-06:00,Jan,5,873,4,2.0,0.25
4,2024-01-01 03:38:00,5002,Voucher,In-Store,3001.0,90617,00:00-06:00,Jan,2,566,2,4.16,0.25
4,2024-01-29 17:07:00,5002,Card,In-Store,3003.0,90460,12:00-18:00,Jan,2,604,3,5.14,0.0
4,2024-01-29 17:07:00,5002,Card,In-Store,3003.0,90460,12:00-18:00,Jan,2,988,2,4.54,0.1
4,2024-01-29 17:07:00,5002,Card,In-Store,3003.0,90460,12:00-18:00,Jan,4,645,1,5.6,0.0
1,2024-01-12 11:47:00,5005,Voucher,Click-and-Collect,3005.0,90715,06:00-12:00,Jan,3,433,3,2.75,0.1
1,2024-01-12 11:47:00,5005,Voucher,Click-and-Collect,3005.0,90715,06:00-12:00,Jan,4,447,1,2.23,0.1
1,2024-02-12 17:11:00,5005,Mobile Wallet,Click-and-Collect,3004.0,90105,12:00-18:00,Feb,5,95,4,1.94,0.25
1,2024-02-12 17:11:00,5005,Mobile Wallet,Click-and-Collect,3004.0,90105,12:00-18:00,Feb,4,819,2,3.15,0.1
1,2024-02-12 17:11:00,5005,Mobile Wallet,Click-and-Collect,3004.0,90105,12:00-18:00,Feb,3,8,3,4.03,0.25
5,2024-03-15 18:05:00,5009,Mobile Wallet,In-Store,,90271,18:00-24:00,Mar,4,827,1,4.78,0.0
5,2024-03-15 18:05:00,5009,Mobile Wallet,In-Store,,90271,18:00-24:00,Mar,5,550,1,3.55,0.25
5,2024-03-22 06:39:00,5007,Voucher,Click-and-Collect,,90081,06:00-12:00,Mar,5,566,3,5.23,0.25
5,2024-03-22 06:39:00,5007,Voucher,Click-and-Collect,,90081,06:00-12:00,Mar,3,406,3,4.86,0.1
5,2024-03-22 06:39:00,5007,Voucher,Click-and-Collect,,90081,06:00-12:00,Mar,2,251,1,1.56,0.5
1,2024-02-16 10:15:00,5003,Card,Click-and-Collect,3005.0,90197,06:00-12:00,Feb,3,722,1,1.71,0.1
1,2024-02-16 10:15:00,5003,Card,Click-and-Collect,3005.0,90197,06:00-12:00,Feb,3,195,4,2.13,0.1
3,2024-01-16 11:38:00,5006,Voucher,In-Store,,90082,06:00-12:00,Jan,3,876,2,5.4,0.5
3,2024-01-16 11:38:00,5006,Voucher,In-Store,,90082,06:00-12:00,Jan,3,166,3,2.53,0.25
3,2024-01-16 11:38:00,5006,Voucher,In-Store,,90082,06:00-12:00,Jan,3,433,2,3.82,0.25
3,2024-01-16 11:38:00,5006,Voucher,In-Store,,90082,06:00-12:00,Jan,1,301,1,3.2,0.25
5,2024-02-05 06:50:00,5006,Card,In-Store,3002.0,90465,06:00-12:00,Feb,2,651,3,2.23,0.25
5,2024-02-05 06:50:00,5006,Card,In-Store,3002.0,90465,06:00-12:00,Feb,4,380,4,4.14,0.1
5,2024-02-05 06:50:00,5006,Card,In-Store,3002.0,90465,06:00-12:00,Feb,3,650,3,2.34,0.1
3,2024-03-16 16:39:00,5001,Mobile Wallet,In-Store,,90687,12:00-18:00,Mar,5,274,1,4.24,0.1
3,2024-03-16 16:39:00,5001,Mobile Wallet,In-Store,,90687,12:00-18:00,Mar,3,58,2,2.7,0.1
3,2024-03-16 16:39:00,5001,Mobile Wallet,In-Store,,90687,12:00-18:00,Mar,1,767,4,3.68,0.0
5,2024-02-18 10:09:00,5001,Mobile Wallet,Click-and-Collect,3004.0,90747,06:00-12:00,Feb,5,251,2,3.58,0.25
5,2024-02-18 10:09:00,5001,Mobile Wallet,Click-and-Collect,3004.0,90747,06:00-12:00,Feb,4,806,3,3.46,0.0
5,2024-02-18 10:09:00,5001,Mobile Wallet,Click-and-Collect,3004.0,90747,06:00-12:00,Feb,3,638,4,1.83,0.25
4,2024-02-19 12:45:00,5003,Cash,Click-and-Collect,,90225,12:00-18:00,Feb,2,702,3,5.29,0.0
4,2024-02-19 12:45:00,5003,Cash,Click-and-Collect,,90225,12:00-18:00,Feb,4,943,1,4.37,0.1
4,2024-02-19 12:45:00,5003,Cash,Click-and-Collect,,90225,12:00-18:00,Feb,5,749,3,2.3,0.0
4,2024-02-19 12:45:00,5003,Cash,Click-and-Collect,,90225,12:00-18:00,Feb,5,939,3,3.24,0.5
4,2024-03-09 10:00:00,5001,Card,In-Store,,90842,06:00-12:00,Mar,2,33,3,3.31,0.0
4,2024-03-09 10:00:00,5001,Card,In-Store,,90842,06:00-12:00,Mar,2,67,4,3.71,0.0
4,2024-03-09 10:00:00,5001,Card,In-Store,,90842,06:00-12:00,Mar,1,342,2,5.75,0.5
4,2024-03-09 10:00:00,5001,Card,In-Store,,90842,06:00-12:00,Mar,4,594,1,3.62,0.1
4,2024-03-09 10:00:00,5001,Card,In-Store,,90842,06:00-12:00,Mar,4,158,3,5.97,0.5
4,2024-03-09 10:00:00,5001,Card,In-Store,,90842,06:00-12:00,Mar,5,827,4,1.93,0.25
