online_order_id,online_customer_id,order_datetime,order_status,sales_channel,fulfilment_type,store_id,delivery_fee,discount_amount,payment_type,product_id,time_range
80001,10125,2024-03-16 00:44:00,Placed,Mobile App,Pickup,1,0.0,1.69,Card,115,00:00-06:00
80002,10275,2024-03-03 08:17:00,Completed,Mobile App,Delivery,1,3.02,1.21,Card,755,06:00-12:00
80003,10097,2024-03-22 19:37:00,Preparing,Mobile App,Delivery,3,1.91,1.82,Card,33,18:00-24:00
80004,10480,2024-03-06 08:08:00,Cancelled,Web,Delivery,2,3.09,1.41,PayPal,28,06:00-12:00
80005,10469,2024-03-26 03:01:00,Completed,Mobile App,Delivery,2,2.14,1.07,PayPal,604,00:00-06:00
80006,10158,2024-03-24 08:07:00,Cancelled,Mobile App,Pickup,2,0.0,0.2,Mobile Wallet,433,06:00-12:00
80007,10241,2024-03-17 20:54:00,Completed,Mobile App,Pickup,1,0.0,0.09,Card,95,18:00-24:00
80008,10380,2024-03-01 17:42:00,Completed,Mobile App,Delivery,5,1.89,0.39,Card,827,12:00-18:00
80009,10195,2024-03-23 17:22:00,Completed,Mobile App,Delivery,1,3.29,0.98,Mobile Wallet,566,12:00-18:00
80010,10329,2024-03-08 15:45:00,Completed,Web,Pickup,5,0.0,0.28,Mobile Wallet,722,12:00-18:00
80011,10251,2024-03-25 16:09:00,Placed,Web,Delivery,4,3.52,0.15,Mobile Wallet,876,12:00-18:00
80012,10025,2024-03-19 18:26:00,Preparing,Web,Delivery,1,1.2,0.3,Card,651,18:00-24:00
80013,10259,2024-03-03 18:01:00,Cancelled,Mobile App,Pickup,1,0.0,0.03,Mobile Wallet,274,18:00-24:00
80014,10283,2024-03-01 18:16:00,Completed,Mobile App,Pickup,1,0.0,0.03,Mobile Wallet,251,18:00-24:00
80015,10346,2024-03-05 20:53:00,Placed,Web,Pickup,2,0.0,0.48,Mobile Wallet,702,18:00-24:00
80016,10270,2024-03-13 03:59:00,Cancelled,Web,Pickup,2,0.0,0.75,PayPal,33,00:00-06:00
80017,10236,2024-03-11 06:41:00,Completed,Web,Delivery,5,2.96,1.72,Card,966,06:00-12:00
80018,10048,2024-03-18 03:58:00,Cancelled,Web,Pickup,5,0.0,1.27,Mobile Wallet,937,00:00-06:00
80019,10088,2024-03-23 17:58:00,Cancelled,Mobile App,Delivery,1,2.7,1.72,Card,575,12:00-18:00
80020,10459,2024-03-11 10:57:00,Preparing,Mobile App,Delivery,5,1.81,1.85,Mobile Wallet,371,06:00-12:00
80021,10474,2024-03-09 03:54:00,Completed,Web,Pickup,2,0.0,1.92,Mobile Wallet,94,00:00-06:00
80022,10074,2024-03-14 14:53:00,Preparing,Web,Pickup,5,0.0,1.13,PayPal,697,12:00-18:00
80023,10347,2024-03-07 08:51:00,Placed,Mobile App,Pickup,4,0.0,0.11,PayPal,480,06:00-12:00
80024,10119,2024-03-16 12:01:00,Cancelled,Mobile App,Delivery,2,1.09,0.55,PayPal,907,12:00-18:00
80025,10252,2024-03-17 04:38:00,Cancelled,Mobile App,Delivery,4,1.56,1.17,PayPal,446,00:00-06:00
80026,10044,2024-03-04 08:17:00,Placed,Mobile App,Pickup,5,0.0,0.31,Mobile Wallet,183,06:00-12:00
80027,10402,2024-03-18 17:34:00,Completed,Mobile App,Delivery,3,1.32,0.01,PayPal,204,12:00-18:00
80028,10228,2024-03-05 15:39:00,Preparing,Web,Pickup,1,0.0,0.37,PayPal,798,12:00-18:00
80029,10286,2024-03-02 04:41:00,Placed,Mobile App,Pickup,2,0.0,1.11,Mobile Wallet,952,00:00-06:00
80030,10307,2024-03-01 13:28:00,Completed,Mobile App,Pickup,4,0.0,0.78,Card,247,12:00-18:00
80031,10372,2024-03-27 00:43:00,Preparing,Mobile App,Delivery,3,1.51,0.54,PayPal,546,00:00-06:00
80032,10253,2024-03-03 21:06:00,Preparing,Mobile App,Delivery,3,1.83,0.6,Card,272,18:00-24:00
80033,10185,2024-03-29 10:42:00,Cancelled,Web,Pickup,2,0.0,0.92,Card,688,06:00-12:00
80034,10156,2024-03-19 00:12:00,Completed,Mobile App,Delivery,2,3.41,0.66,PayPal,231,00:00-06:00
80035,10221,2024-03-14 16:09:00,Completed,Web,Delivery,3,2.44,0.36,PayPal,8,12:00-18:00
80036,10496,2024-03-29 19:17:00,Cancelled,Web,Pickup,1,0.0,0.65,PayPal,928,18:00-24:00
80037,10419,2024-03-06 04:23:00,Preparing,Web,Pickup,1,0.0,1.36,Mobile Wallet,286,00:00-06:00
80038,10014,2024-03-20 22:54:00,Completed,Web,Pickup,4,0.0,1.64,PayPal,485,18:00-24:00
80039,10345,2024-03-29 19:46:00,Completed,Web,Pickup,1,0.0,0.51,Card,100,18:00-24:00
80040,10367,2024-03-04 08:47:00,Cancelled,Mobile App,Pickup,3,0.0,1.16,Mobile Wallet,747,06:00-12:00
80041,10260,2024-03-17 08:42:00,Placed,Web,Pickup,3,0.0,1.54,Mobile Wallet,746,06:00-12:00
80042,10341,2024-03-30 10:41:00,Placed,Mobile App,Pickup,5,0.0,1.93,PayPal,195,06:00-12:00
80043,10495,2024-03-01 11:31:00,Placed,Mobile App,Pickup,3,0.0,0.44,Mobile Wallet,256,06:00-12:00
80044,10266,2024-03-21 06:54:00,Completed,Mobile App,Delivery,1,2.39,1.36,Mobile Wallet,554,06:00-12:00
80045,10257,2024-03-16 16:47:00,Placed,Mobile App,Delivery,4,1.31,0.83,Card,498,12:00-18:00
80046,10060,2024-03-16 20:28:00,Completed,Mobile App,Delivery,5,2.37,0.41,PayPal,389,18:00-24:00
80047,10179,2024-03-20 22:35:00,Cancelled,Mobile App,Pickup,1,0.0,0.13,Card,434,18:00-24:00
80048,10415,2024-03-02 00:40:00,Completed,Web,Delivery,4,3.03,0.33,Mobile Wallet,60,00:00-06:00
80049,10125,2024-03-26 02:49:00,Preparing,Mobile App,Delivery,1,2.68,1.92,Card,489,00:00-06:00
80050,10409,2024-03-09 11:35:00,Cancelled,Mobile App,Pickup,5,0.0,0.06,Mobile Wallet,610,06:00-12:00
80051,10453,2024-03-21 11:03:00,Cancelled,Mobile App,Delivery,3,1.01,0.43,PayPal,965,06:00-12:00
80052,10386,2024-03-27 06:37:00,Placed,Web,Delivery,5,2.1,0.39,Card,430,06:00-12:00
80053,10135,2024-03-28 04:03:00,Cancelled,Mobile App,Pickup,3,0.0,1.17,PayPal,272,00:00-06:00
80054,10181,2024-03-14 12:53:00,Placed,Web,Pickup,5,0.0,0.63,Card,952,12:00-18:00
80055,10157,2024-03-09 07:56:00,Completed,Web,Delivery,2,2.53,0.84,Card,219,06:00-12:00
80056,10295,2024-03-09 10:53:00,Cancelled,Web,Pickup,1,0.0,1.11,PayPal,251,06:00-12:00
80057,10148,2024-03-09 12:21:00,Completed,Mobile App,Delivery,1,2.86,1.73,Card,310,12:00-18:00
80058,10249,2024-03-09 21:07:00,Cancelled,Mobile App,Delivery,2,2.23,0.98,Mobile Wallet,900,18:00-24:00
80059,10431,2024-03-08 14:41:00,Placed,Web,Pickup,3,0.0,1.59,Card,279,12:00-18:00
80060,10150,2024-03-13 12:12:00,Preparing,Mobile App,Delivery,1,1.5,0.91,Mobile Wallet,650,12:00-18:00
80061,10396,2024-03-27 01:33:00,Placed,Mobile App,Pickup,2,0.0,1.55,PayPal,650,00:00-06:00
80062,10278,2024-03-21 02:05:00,Preparing,Mobile App,Delivery,1,1.31,1.66,Card,790,00:00-06:00
80063,10153,2024-03-21 11:13:00,Completed,Mobile App,Delivery,4,3.59,0.17,Card,453,06:00-12:00
80064,10398,2024-03-10 13:14:00,Completed,Mobile App,Delivery,3,1.5,0.28,Card,905,12:00-18:00
80065,10417,2024-03-03 16:50:00,Completed,Mobile App,Delivery,4,2.79,0.34,Mobile Wallet,152,12:00-18:00
80066,10150,2024-03-24 09:52:00,Placed,Web,Pickup,3,0.0,1.93,PayPal,956,06:00-12:00
80067,10471,2024-03-13 14:54:00,Preparing,Web,Delivery,2,1.75,1.42,Card,106,12:00-18:00
80068,10390,2024-03-07 11:17:00,Completed,Mobile App,Pickup,3,0.0,0.75,Card,159,06:00-12:00
80069,10325,2024-03-19 08:01:00,Completed,Mobile App,Delivery,3,2.36,0.98,Mobile Wallet,184,06:00-12:00
80070,10002,2024-03-21 20:44:00,Completed,Web,Delivery,2,3.39,0.8,PayPal,164,18:00-24:00
80071,10423,2024-03-23 12:21:00,Completed,Mobile App,Delivery,3,3.49,0.68,Mobile Wallet,205,12:00-18:00
80072,10067,2024-03-03 04:52:00,Placed,Web,Pickup,1,0.0,1.25,PayPal,676,00:00-06:00
80073,10009,2024-03-08 04:33:00,Cancelled,Mobile App,Delivery,5,1.0,1.92,Card,792,00:00-06:00
80074,10353,2024-03-30 13:58:00,Completed,Web,Delivery,2,3.62,1.75,Card,962,12:00-18:00
80075,10336,2024-03-04 18:01:00,Completed,Web,Pickup,5,0.0,0.1,Mobile Wallet,986,18:00-24:00
80076,10157,2024-03-20 12:50:00,Placed,Web,Delivery,2,1.0,0.95,Card,806,12:00-18:00
80077,10304,2024-03-24 15:22:00,Cancelled,Web,Delivery,2,1.02,0.69,Card,591,12:00-18:00
80078,10441,2024-03-22 17:46:00,Placed,Web,Pickup,4,0.0,0.77,Mobile Wallet,948,12:00-18:00
80079,10413,2024-03-05 16:43:00,Completed,Mobile App,Delivery,4,3.64,0.27,Card,322,12:00-18:00
80080,10329,2024-03-04 02:43:00,Placed,Web,Delivery,3,2.32,1.44,Mobile Wallet,683,00:00-06:00
80081,10384,2024-03-19 17:41:00,Cancelled,Web,Delivery,5,1.26,0.2,Card,197,12:00-18:00
80082,10302,2024-03-20 13:00:00,Completed,Web,Pickup,2,0.0,0.5,Mobile Wallet,583,12:00-18:00
80083,10044,2024-03-26 04:27:00,Completed,Web,Delivery,3,3.54,1.32,PayPal,216,00:00-06:00
80084,10106,2024-03-18 19:53:00,Completed,Web,Delivery,1,3.35,1.59,Card,453,18:00-24:00
